z_angstrom,LiA_number_density_per_nm3,PF6_number_density_per_nm3,ECA_number_density_per_nm3,DMC_number_density_per_nm3,CAT_number_density_per_nm3,ANO_number_density_per_nm3
32.222893,7.8995221716e-01,1.9748805429e-01,3.7522730315e+00,3.7522730315e+00,0.0000000000e+00,0.0000000000e+00
32.390284,7.8995221716e-01,3.9497610858e-01,4.3447371944e+00,3.9497610858e+00,0.0000000000e+00,0.0000000000e+00
32.557676,5.9246416287e-01,9.8744027145e-01,3.7522730315e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
32.725068,1.3824163800e+00,1.9748805429e-01,2.3698566515e+00,5.1346894116e+00,0.0000000000e+00,0.0000000000e+00
32.892459,2.1723685972e+00,7.8995221716e-01,2.9623208144e+00,3.9497610858e+00,0.0000000000e+00,0.0000000000e+00
33.059851,1.9748805429e+00,9.8744027145e-01,1.9748805429e+00,3.9497610858e+00,0.0000000000e+00,0.0000000000e+00
33.227243,1.9748805429e+00,5.9246416287e-01,1.5799044343e+00,2.3698566515e+00,0.0000000000e+00,0.0000000000e+00
33.394634,1.3824163800e+00,0.0000000000e+00,7.8995221716e-01,3.1598088686e+00,0.0000000000e+00,0.0000000000e+00
33.562026,1.1849283257e+00,1.9748805429e-01,3.9497610858e-01,2.1723685972e+00,0.0000000000e+00,0.0000000000e+00
33.729417,5.9246416287e-01,9.8744027145e-01,1.3824163800e+00,1.7773924886e+00,0.0000000000e+00,0.0000000000e+00
33.896809,2.5673447058e+00,7.8995221716e-01,9.8744027145e-01,2.9623208144e+00,0.0000000000e+00,0.0000000000e+00
34.064201,9.8744027145e-01,0.0000000000e+00,5.9246416287e-01,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
34.231592,7.8995221716e-01,1.9748805429e-01,5.9246416287e-01,6.5171057916e+00,0.0000000000e+00,0.0000000000e+00
34.398984,7.8995221716e-01,0.0000000000e+00,5.9246416287e-01,7.3070580087e+00,0.0000000000e+00,0.0000000000e+00
34.566376,1.9748805429e-01,0.0000000000e+00,5.9246416287e-01,9.6769146602e+00,0.0000000000e+00,0.0000000000e+00
34.733767,1.9748805429e-01,0.0000000000e+00,1.3824163800e+00,1.1059331040e+01,0.0000000000e+00,0.0000000000e+00
