z_A,LiA_molCOM,PF6_molCOM,EC_Oc(O00),DMC_Oc(O01)
254.158897,1.0754954064e-06,1.4518835713e-06,3.9590518350e-06,1.9591413107e-05
255.285988,8.8243667294e-07,0.0000000000e+00,1.0112049726e-05,8.5251997413e-06
256.413078,1.4518835713e-06,1.8109909943e-06,8.8438463394e-06,1.2317550069e-05
257.540169,2.9037671425e-06,0.0000000000e+00,3.4879931831e-06,1.0055655434e-05
258.667259,1.4518835713e-06,0.0000000000e+00,5.8913185333e-06,1.4857890139e-05
259.794350,0.0000000000e+00,8.8243667294e-07,1.1071614118e-05,5.3407376860e-06
260.921440,0.0000000000e+00,1.4518835713e-06,1.0845011498e-05,1.2565574105e-05
262.048531,2.9037671425e-06,1.4518835713e-06,8.0492629487e-08,9.6791076579e-06
263.175621,0.0000000000e+00,0.0000000000e+00,2.3343202442e-06,9.5937381006e-06
264.302711,1.0754954064e-06,0.0000000000e+00,1.0754954064e-06,4.7147581368e-06
265.429802,0.0000000000e+00,0.0000000000e+00,2.8082368549e-06,2.5273789776e-06
266.556892,0.0000000000e+00,1.4518835713e-06,5.2380873867e-06,3.7862038155e-06
267.683983,0.0000000000e+00,0.0000000000e+00,1.0754954064e-06,7.5108161494e-06
268.811073,0.0000000000e+00,1.0754954064e-06,1.4077558731e-06,6.5066415266e-06
269.938164,0.0000000000e+00,0.0000000000e+00,2.9037671425e-06,6.8830296915e-06
271.065254,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,8.8409617708e-06
272.192345,0.0000000000e+00,0.0000000000e+00,1.5371045595e-06,5.3564115262e-06
273.319435,0.0000000000e+00,0.0000000000e+00,1.8458387103e-06,3.5338401763e-06
274.446526,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
