z_angstrom,LiA_number_density_per_nm3,PF6_number_density_per_nm3,ECA_number_density_per_nm3,DMC_number_density_per_nm3
5.942404,5.9246416287e-01,1.1849283257e+00,1.7773924886e+00,3.9497610858e+00
6.109795,1.1849283257e+00,5.9246416287e-01,9.8744027145e-01,3.9497610858e+00
6.277187,9.8744027145e-01,1.9748805429e-01,1.5799044343e+00,3.1598088686e+00
6.444579,1.7773924886e+00,1.9748805429e-01,1.3824163800e+00,3.7522730315e+00
6.611970,2.3698566515e+00,9.8744027145e-01,2.3698566515e+00,2.1723685972e+00
6.779362,2.3698566515e+00,5.9246416287e-01,1.5799044343e+00,4.5422252487e+00
6.946753,2.3698566515e+00,1.3824163800e+00,1.3824163800e+00,4.1472491401e+00
7.114145,1.9748805429e+00,1.9748805429e-01,2.1723685972e+00,3.5547849772e+00
7.281537,9.8744027145e-01,5.9246416287e-01,3.3572969229e+00,5.3321774658e+00
7.448928,3.9497610858e-01,1.1849283257e+00,2.9623208144e+00,6.7145938459e+00
7.616320,0.0000000000e+00,1.1849283257e+00,1.9748805429e+00,4.7397133030e+00
7.783712,7.8995221716e-01,1.5799044343e+00,4.5422252487e+00,5.5296655201e+00
7.951103,1.1849283257e+00,1.3824163800e+00,2.7648327601e+00,6.1221296830e+00
8.118495,5.9246416287e-01,9.8744027145e-01,3.3572969229e+00,6.3196177373e+00
8.285887,5.9246416287e-01,1.1849283257e+00,4.5422252487e+00,3.5547849772e+00
8.453278,0.0000000000e+00,1.9748805429e-01,2.3698566515e+00,5.7271535744e+00
8.620670,0.0000000000e+00,7.8995221716e-01,3.1598088686e+00,5.7271535744e+00
8.788062,5.9246416287e-01,1.5799044343e+00,3.9497610858e+00,4.9372013573e+00
8.955453,3.9497610858e-01,3.9497610858e-01,1.9748805429e+00,3.9497610858e+00
9.122845,5.9246416287e-01,3.9497610858e-01,2.9623208144e+00,5.5296655201e+00
9.290237,1.9748805429e-01,5.9246416287e-01,1.1849283257e+00,5.1346894116e+00
9.457628,5.9246416287e-01,9.8744027145e-01,7.8995221716e-01,4.7397133030e+00
9.625020,5.9246416287e-01,1.9748805429e-01,1.1849283257e+00,3.3572969229e+00
9.792412,3.9497610858e-01,3.9497610858e-01,1.1849283257e+00,4.7397133030e+00
9.959803,1.1849283257e+00,1.3824163800e+00,1.7773924886e+00,5.9246416287e+00
10.127195,5.9246416287e-01,9.8744027145e-01,2.5673447058e+00,4.5422252487e+00
10.294586,1.3824163800e+00,7.8995221716e-01,1.3824163800e+00,4.1472491401e+00
10.461978,1.3824163800e+00,7.8995221716e-01,2.7648327601e+00,3.5547849772e+00
10.629370,7.8995221716e-01,1.1849283257e+00,1.7773924886e+00,4.1472491401e+00
10.796761,1.1849283257e+00,1.1849283257e+00,2.7648327601e+00,4.5422252487e+00
10.964153,1.1849283257e+00,1.9748805429e+00,1.3824163800e+00,2.7648327601e+00
11.131545,7.8995221716e-01,1.1849283257e+00,1.5799044343e+00,2.5673447058e+00
11.298936,9.8744027145e-01,7.8995221716e-01,2.7648327601e+00,4.5422252487e+00
11.466328,7.8995221716e-01,7.8995221716e-01,3.1598088686e+00,3.5547849772e+00
11.633720,9.8744027145e-01,3.9497610858e-01,2.7648327601e+00,5.1346894116e+00
11.801111,0.0000000000e+00,1.1849283257e+00,2.1723685972e+00,4.7397133030e+00
11.968503,7.8995221716e-01,5.9246416287e-01,3.5547849772e+00,4.7397133030e+00
12.135895,1.9748805429e-01,7.8995221716e-01,3.3572969229e+00,4.9372013573e+00
12.303286,1.7773924886e+00,1.1849283257e+00,2.3698566515e+00,6.1221296830e+00
12.470678,9.8744027145e-01,7.8995221716e-01,3.9497610858e+00,4.1472491401e+00
12.638070,7.8995221716e-01,1.1849283257e+00,1.7773924886e+00,5.3321774658e+00
12.805461,7.8995221716e-01,1.3824163800e+00,2.7648327601e+00,3.5547849772e+00
